x_um,z_um
2900.000000,33700.000000
2900.000000,33800.000000
2900.000000,33900.000000
2900.000000,34000.000000
2900.000000,34100.000000
2900.000000,34200.000000
2900.000000,34300.000000
2900.000000,34400.000000
2900.000000,34500.000000
2900.000000,34600.000000
2900.000000,34700.000000
2900.000000,34800.000000
2900.000000,34900.000000
2900.000000,35000.000000
2900.000000,35100.000000
2900.000000,35200.000000
2900.000000,35300.000000
2900.000000,35400.000000
2900.000000,35500.000000
2900.000000,35600.000000
2900.000000,35700.000000
2900.000000,35800.000000
2900.000000,35900.000000
2900.000000,36000.000000
2900.000000,36100.000000
2900.000000,36200.000000
2900.000000,36300.000000
2900.000000,36400.000000
2900.000000,36500.000000
2900.000000,36600.000000
2900.000000,36700.000000
2900.000000,36800.000000
2900.000000,36900.000000
2900.000000,37000.000000
2900.000000,37100.000000
2900.000000,37200.000000
2900.000000,37300.000000
2900.000000,37400.000000
2900.000000,37500.000000
2900.000000,37600.000000
2900.000000,37700.000000
2900.000000,37800.000000
2900.000000,37900.000000
2900.000000,38000.000000
2962.500000,38000.000000
3025.000000,38000.000000
3025.000000,38100.000000
3025.000000,38200.000000
3025.000000,38300.000000
3025.000000,38400.000000
3025.000000,38500.000000
3025.000000,38600.000000
3025.000000,38700.000000
3025.000000,38800.000000
3025.000000,38900.000000
3025.000000,39000.000000
2927.419355,39000.000000
2829.838710,39000.000000
2732.258065,39000.000000
2634.677419,39000.000000
2537.096774,39000.000000
2439.516129,39000.000000
2341.935484,39000.000000
2244.354839,39000.000000
2146.774194,39000.000000
2049.193548,39000.000000
1951.612903,39000.000000
1854.032258,39000.000000
1756.451613,39000.000000
1658.870968,39000.000000
1561.290323,39000.000000
1463.709677,39000.000000
1366.129032,39000.000000
1268.548387,39000.000000
1170.967742,39000.000000
1073.387097,39000.000000
975.806452,39000.000000
878.225806,39000.000000
780.645161,39000.000000
683.064516,39000.000000
585.483871,39000.000000
487.903226,39000.000000
390.322581,39000.000000
292.741935,39000.000000
195.161290,39000.000000
0.000000,39000.000000
